AP 2D Art and Design,AP Computer Science Principles,AP Music Theory,AP Physics 1,Art Design,C-Humanities,CSL,Chinese Culture,Drama I,English I,IGCSE Biology (Accelerated),IGCSE Combined Science (Year 1),IGCSE Economics (Year 1),IGCSE English Literature (Year 1),IGCSE History (Year 1),IGCSE Math (Accelerated),IGCSE Math (Year 1),IT (Year 1),IT (Year 2),Music,PE,Spanish I,Spanish II,World History I
N,A,N,N,N,N,A,N,A-,N,N,A,A,A+,N,A,N,N,N,N,A+,N,N,N
N,N,N,N,N,A-,N,A+,A-,N,N,A,N,A,N,N,B+,B,N,N,A,N,N,B+
N,N,N,N,A+,A-,N,A+,N,B,N,A-,C,N,N,N,A,N,B,N,B+,N,N,N
N,N,N,N,A+,A-,N,A+,N,N,A,N,N,B+,N,N,B-,A,N,A,A,N,N,B
N,N,N,N,N,B,N,B+,N,C+,N,B+,N,N,N,N,C+,B,N,N,A-,N,N,C+
N,N,N,N,A+,B+,N,A+,N,A-,A,N,B-,N,N,N,A+,A-,N,N,A-,N,A+,N
N,N,N,N,N,B,N,A,N,N,N,A,A-,A-,N,N,A+,N,A,A+,A,N,N,N
N,N,N,N,N,A-,N,A+,N,F,N,A-,B,N,N,B,N,N,B,A,A+,N,N,N
N,N,N,N,A,N,B+,N,N,N,N,C+,C-,C,N,N,B-,B,N,N,A+,N,N,N
N,N,N,N,A+,A-,N,A+,N,D+,N,C+,C-,N,N,N,C+,N,B+,N,A,N,N,N
N,N,N,N,N,A,N,A+,A-,N,N,C,N,B,N,N,C,B,N,N,A-,N,N,B
